Loading assemblies from: C:\Users\Tal\AppData\Local\Apps\2.0\X5MLETMC.WLM\5NNM9X0W.CBM\mtgo..tion_a7d96b15d2cce030_0003.0004_b5d581d94d59763e
opcode	type
310	WotC.MTGO.Common.Message.FlsClanCaptainPromotedMessage
311	WotC.MTGO.Common.Message.FlsClanInfoUpdatedMessage
312	WotC.MTGO.Common.Message.FlsClanListTopReqMessage
313	WotC.MTGO.Common.Message.FlsClanListTopMessage
314	WotC.MTGO.Common.Message.GetServerListMessage
315	WotC.MTGO.Common.Message.ServerListMessage
316	WotC.MTGO.Common.Message.AdminNotifyMessageMessage
317	WotC.MTGO.Common.Message.FlsPileDraftPickSucceededMessage
318	WotC.MTGO.Common.Message.AdmSetMaxUsersRespMessage
319	WotC.MTGO.Common.Message.DosPileDraftCompletedRespMessage
320	WotC.MTGO.Common.Message.CompleteChannelStatsReqMessage
321	WotC.MTGO.Common.Message.ChannelStatsReqMessage
322	WotC.MTGO.Common.Message.DosPileDraftCompletedMessage
323	WotC.MTGO.Common.Message.FlsLeaguePileDraftSubmitPickMessage
324	WotC.MTGO.Common.Message.FlsLeaguePileDraftSubmitDivisionMessage
325	WotC.MTGO.Common.Message.CompleteChannelStatsMessage
326	WotC.MTGO.Common.Message.ChannelStatsMessage
327	WotC.MTGO.Common.Message.ChannelStatsNotFoundMessage
328	WotC.MTGO.Common.Message.AdmSetSystemStateMessageReqMessage
329	WotC.MTGO.Common.Message.FlsSetSystemStateMessageReqMessage
330	WotC.MTGO.Common.Message.AdmSetSystemStateMessageRespMessage
331	WotC.MTGO.Common.Message.NacsSystemStateReqMessage
332	WotC.MTGO.Common.Message.NacsSystemStateRespMessage
333	WotC.MTGO.Common.Message.AdmPremiereEventCreateReqMessage
334	WotC.MTGO.Common.Message.DosPremiereEventCreateReqMessage
335	WotC.MTGO.Common.Message.AdmPremiereEventCreateRespMessage
336	WotC.MTGO.Common.Message.FlsRequestLiveStatsMessage
337	WotC.MTGO.Common.Message.FlsPromocodeCampaignCreateReqMessage
338	WotC.MTGO.Common.Message.FlsPromocodeCampaignCreateRespMessage
339	WotC.MTGO.Common.Message.FlsPromocodeCampaignViewReqMessage
340	WotC.MTGO.Common.Message.FlsPromocodeCampaignViewRespMessage
341	WotC.MTGO.Common.Message.FlsPromocodeCampaignEditReqMessage
342	WotC.MTGO.Common.Message.FlsPromocodeCampaignEditRespMessage
343	WotC.MTGO.Common.Message.FlsPromocodeAddCodesReqMessage
344	WotC.MTGO.Common.Message.FlsPromocodeAddCodesRespMessage
345	WotC.MTGO.Common.Message.FlsPromocodeChangeCodeStateReqMessage
346	WotC.MTGO.Common.Message.FlsPromocodeChangeCodeStateRespMessage
347	WotC.MTGO.Common.Message.DosPremiereEventCreateRespMessage
348	WotC.MTGO.Common.Message.GshFavoriteOpponentVoteReqMessage
349	WotC.MTGO.Common.Message.FlsFavoriteOpponentVoteReqMessage
350	WotC.MTGO.Common.Message.GshFavoriteOpponentVoteRespMessage
351	WotC.MTGO.Common.Message.FlsFavoriteOpponentVoteRespMessage
352	WotC.MTGO.Common.Message.FlsLiveStatsMessage
353	WotC.MTGO.Common.Message.GshFavoriteOpponentVoteRespAckMessage
354	WotC.MTGO.Common.Message.FlsFavoriteOpponentVoteRespAckMessage
355	WotC.MTGO.Common.Message.GshFavoriteOpponentVoteTallyFafMessage
356	WotC.MTGO.Common.Message.FlsFavoriteOpponentVoteTallyFafMessage
357	WotC.MTGO.Common.Message.DosPlayerEliminatedFromMultiplayerMatchFafMessage
